County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,All Children 200,-19.1%,-45.0%,-54.6%,-7.8%,-29.2%,0.0%,"612,985","136,078","38,425",6.49%,7.73%,5.23%,5.25%,4.25%,2.37%,1.9%,1.44%,0.89%,1.75%,1.02%,0.89%
Anne Arundel,All Children 200,-18.0%,-38.5%,-78.6%,-8.5%,-28.7%,-27.9%,"67,952","12,172","3,194",11.41%,11.29%,18.17%,9.36%,6.94%,3.89%,4.32%,4.44%,1.36%,3.95%,3.17%,0.98%
Baltimore City,All Children 200,-10.0%,-25.5%,-14.9%,-12.8%,-35.2%,-35.0%,"595,705","122,089","37,354",25.0%,32.96%,27.93%,22.49%,24.54%,23.78%,8.98%,10.05%,7.24%,7.83%,6.52%,4.7%
Baltimore County,All Children 200,-15.4%,-30.4%,-26.2%,-19.6%,-61.3%,-69.3%,"865,896","186,739","50,331",12.71%,13.26%,17.1%,10.75%,9.23%,12.61%,4.63%,3.72%,3.27%,3.72%,1.44%,1.0%
Calvert,All Children 200,-4.2%,-5.4%,-19.2%,-41.0%,-72.2%,-85.6%,"100,193","23,096","5,039",8.5%,11.41%,9.66%,8.14%,10.79%,7.81%,4.45%,7.88%,7.81%,2.63%,2.19%,1.12%
Caroline,All Children 200,-9.5%,-24.8%,0.0%,0.0%,0.0%,0.0%,"34,804","6,894","1,570",8.34%,6.81%,4.1%,7.55%,5.11%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Carroll,All Children 200,-13.9%,-32.3%,-48.7%,-7.8%,-24.7%,-48.0%,"178,564","37,240","8,930",6.91%,7.66%,6.3%,5.95%,5.18%,3.24%,2.14%,2.16%,1.14%,1.97%,1.62%,0.59%
Cecil,All Children 200,-9.3%,-34.0%,-30.0%,-26.9%,-29.4%,0.0%,"108,229","23,069","6,038",10.63%,7.59%,6.29%,9.65%,5.01%,4.41%,4.68%,2.96%,0.28%,3.42%,2.09%,0.28%
Charles,All Children 200,-25.5%,-53.9%,-73.8%,-5.5%,-27.8%,0.0%,"174,238","41,222","9,237",9.07%,11.21%,8.54%,6.76%,5.16%,2.24%,2.44%,1.52%,1.59%,2.3%,1.1%,1.59%
Dorchester,All Children 200,-9.5%,-24.8%,0.0%,0.0%,0.0%,0.0%,"33,845","6,704","1,526",8.34%,6.81%,4.1%,7.55%,5.11%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Frederick,All Children 200,-19.5%,-43.4%,-43.0%,-11.3%,-32.8%,-22.1%,"275,124","62,421","16,185",10.04%,10.5%,12.72%,8.08%,5.95%,7.25%,2.94%,2.81%,2.46%,2.6%,1.89%,1.92%
Garrett,All Children 200,-18.0%,-38.5%,-78.6%,-8.5%,-28.7%,-27.9%,"27,805","4,981","1,307",11.41%,11.29%,18.17%,9.36%,6.94%,3.89%,4.32%,4.44%,1.36%,3.95%,3.17%,0.98%
Harford,All Children 200,-7.1%,-15.4%,-18.5%,-38.0%,-73.9%,-74.6%,"272,165","59,029","15,126",8.74%,9.14%,17.96%,8.12%,7.73%,14.63%,3.96%,5.72%,11.97%,2.45%,1.49%,3.04%
Howard,All Children 200,-14.5%,-32.0%,-30.5%,0.0%,0.0%,0.0%,"347,480","83,495","21,180",7.72%,7.45%,5.59%,6.6%,5.06%,3.89%,2.39%,1.31%,1.79%,2.39%,1.31%,1.79%
Kent,All Children 200,-9.5%,-24.8%,0.0%,0.0%,0.0%,0.0%,"20,574","4,075",928,8.34%,6.81%,4.1%,7.55%,5.11%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Maryland,All Children 200,-16.5%,-34.8%,-32.1%,-15.7%,-45.0%,-46.7%,"6,319,406","1,390,540","376,011",12.54%,14.83%,15.85%,10.48%,9.67%,10.76%,4.1%,3.83%,3.55%,3.46%,2.11%,1.89%
Montgomery,All Children 200,-16.7%,-27.6%,-31.4%,-18.9%,-48.2%,-56.6%,"1,117,479","253,075","68,066",13.91%,16.9%,21.84%,11.6%,12.24%,14.97%,3.97%,3.55%,3.34%,3.22%,1.84%,1.45%
Prince George's,All Children 200,-27.5%,-55.3%,-43.9%,-6.2%,-22.5%,-16.0%,"939,674","210,461","62,964",14.8%,20.11%,19.44%,10.73%,8.99%,10.9%,3.69%,2.7%,3.13%,3.46%,2.09%,2.63%
Queen Anne's,All Children 200,-9.5%,-24.8%,0.0%,0.0%,0.0%,0.0%,"52,268","10,354","2,357",8.34%,6.81%,4.1%,7.55%,5.11%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
